CODE	LON	LAT	ALT	START	END
DWR_Chilecito_Rj	-29.1611	-67.4962	       NA	1902	1902
DWR_San_L-V._Mcd	-33.667	-65.467	        NA	1902	1902
DWR_Ceres	-29.8817	-61.9461	       NA	1902	1902
DWR_B._Mitre	-27.3833	-55.8833	       NA	1902	1902
DWR_Chivilcoy	-34.897	-60.0191	       NA	1902	1902
DWR_Coronel_Prg.	-37.9853	-61.3498	       NA	1902	1902
DWR_Dolores	-36.3152	-57.6753	       NA	1902	1902
DWR_La_Plata	-34.9205	-57.9536	       NA	1902	1902
DWR_Las_Flores	-36.0142	-59.0993	       NA	1902	1902
DWR_Mar_dl_Plata	-38.0055	-57.5426	       NA	1902	1902
DWR_Necochea	-38.5545	-58.7396	       NA	1902	1902
DWR_9_de_Julio	-35.4439	-60.8846	       NA	1902	1902
DWR_Olavarria	-36.8937	-60.3233	       NA	1902	1902
DWR_Saladillo	-35.6389	-59.7795	       NA	1902	1902
DWR_San_Blas	-40.5608	-62.2367	       NA	1902	1902
DWR_Tandil	-37.3288	-59.1367	       NA	1902	1902
DWR_Tres_Arroyos	-38.3775	-60.2752	       NA	1902	1902
DWR_Zarate	-34.0958	-59.0242	       NA	1902	1902
DWR_Tratayen	-38.4	-68.6	          NA	1902	1902
DWR_V._Casilda	-33.0445	-61.165	       NA	1902	1902
DWR_Arroyitos_Nq	-39.0733	-68.565	       NA	1902	1902
DWR_B._Parada	-34.543	-58.4868	       NA	1902	1902
DWR_Neuquen	-38.9517	-68.0592	       NA	1902	1902
DWR_Gen_Uriburu	-34	-59.166667	     NA	1902	1902
DWR_Gen_Villegas	-35.0326	-63.0148	       NA	1902	1902
DWR_Guamini	-37.0126	-62.4185	       NA	1902	1902
DWR_Bolivar	-36.2383	-61.2336	       NA	1902	1902
DWR_N._Huapi	-40.9256	-71.5151	       NA	1902	1902
DWR_St._Cruz-Mzd	-47.028611	-66.711944	     NA	1902	1902
Rosario_Santa_Fe	-60.33333	-32.94083	35.7	1886	1900
