CODE	LON	LAT	ALT	START	END
Bathurst	26.5256	-33.3106	252	1821	1822
Cape_Town	18.4230	-33.9260	25	1819	1824
Cape_Town_Obs	18.4773	-33.9344	12	1834	1932
Cape_Town_Port	18.4232	-33.9061	0	1829	1904
George	22.4530	-33.9881	32	1821	1823
Kimberley	24.8375	-28.7150	1234.44	1883	1903
Maputo	32.5732	-25.9692	NA	1876	1878
Stellenbosch	18.8602	-33.9321	136	1821	1827
Swartland	18.7271	-33.4608	123	1821	1824
Swellendam	20.4381	-34.0257	128	1821	1826
Uitenhage	25.4141	-33.7687	103	1821	1824
